Filler,Anova (p),Log^2 FX/Ctl,p-Value
g365,0.183267052,-1.046671929,0.736915606
g366,0.183268459,0.735477286,0.736912272
g367,0.183702129,0.346593239,0.73588581
g368,0.184669547,-1.516619795,0.733604716
g369,0.184801669,0.791008267,0.733294111
g370,0.185202865,-1.030810603,0.732352299
g371,0.185592945,-1.511778331,0.731438537
g372,0.185774219,0.429604551,0.731014556
g373,0.186060259,-2.037976046,0.730346379
g374,0.187004874,-1.086239913,0.728147074
g375,0.187328155,2.668998637,0.727396944
g376,0.187650605,0.273957546,0.726650031
g377,0.188266398,1.677948114,0.725227186
g378,0.188953183,0.876846103,0.723645788
g379,0.189126465,-1.429798629,0.723247695
g380,0.189516281,-1.298384875,0.722353475
g381,0.189996922,-1.64670438,0.721253435
g382,0.191018553,-2.712477721,0.718924449
g383,0.191024475,-0.932885914,0.718910985
g384,0.191220765,-0.320884312,0.718464949
g385,0.191223238,-0.383617874,0.718459332
g386,0.191390332,-2.100583657,0.718080004
g387,0.191591375,-1.523878622,0.717624046
g388,0.191725437,-1.287600536,0.717320264
g389,0.192454843,3.900612271,0.715671156
g390,0.192570838,-1.615088149,0.71540948
g391,0.193452092,-1.985760867,0.713426569
g392,0.193635296,0.946646901,0.713015476
g393,0.194092773,-1.315238615,0.711990635
g394,0.194351932,-2.018269177,0.711411138
g395,0.194382741,1.256049681,0.711342298
g396,0.194446099,-1.19549815,0.711200765
g397,0.19446546,-1.588262431,0.711157525
g398,0.194615587,-1.524459687,0.710822379
g399,0.195187587,-2.126892046,0.709547805
g400,0.19573809,0.658628174,0.708324654
g401,0.196198187,1.208477925,0.70730501
g402,0.196655371,-0.501444155,0.706294188
g403,0.1974247,2.369675029,0.704598513
g404,0.19750676,1.033090973,0.704418035
g405,0.197651052,1.260383028,0.70410087
g406,0.197867534,0.625894539,0.703625459
g407,0.198056832,2.167849056,0.703210172
g408,0.19837363,0.336803443,0.70251606
g409,0.198635736,0.265646693,0.701942616
g410,0.198692445,-1.03308387,0.701818646
g411,0.198712389,-1.861204167,0.701775055
g412,0.198743009,3.380969816,0.701708139
g413,0.198881132,-0.998125724,0.701406417
g414,0.199020042,2.888988993,0.701103186
g415,0.199104021,-3.289676232,0.700919969
g416,0.199297049,0.6884149,0.700499132
g417,0.199405615,-0.225721357,0.700262617
g418,0.199697127,-1.268952386,0.699628183
g419,0.200162276,-1.340923848,0.698617769
g420,0.200354922,2.232912631,0.698199984
g421,0.200563266,2.744010113,0.697748607
g422,0.20083122,1.193542308,0.697168774
g423,0.200930415,-0.416716958,0.696954319
g424,0.200952683,-1.561490108,0.696906191
g425,0.201563419,1.208848874,0.695588284
g426,0.201680219,-1.040475915,0.695336696
g427,0.202072646,-0.997585909,0.694492472
g428,0.202149254,0.382575149,0.694327857
g429,0.2021526,0.761566198,0.694320669
g430,0.202185975,-1.86784275,0.694248973
g431,0.202222621,3.027198089,0.694170265
g432,0.202302428,-0.630849858,0.693998905
g433,0.202421322,-0.47010881,0.693743743
g434,0.202937474,0.528521128,0.69263775
g435,0.203410943,-0.661533082,0.691625687
g436,0.203722343,-2.306995861,0.690961338
g437,0.203997577,-1.778424749,0.690374991
g438,0.204506482,0.384179043,0.689292922
g439,0.204662331,-0.891245567,0.688962084
g440,0.205431538,0.524106537,0.687332882
g441,0.205490191,-3.231903217,0.687208904
g442,0.205651048,-0.645624166,0.686869073
g443,0.206048931,-1.912895686,0.686029634
g444,0.206726379,0.711125438,0.684604102
g445,0.206830647,-1.157969092,0.68438511
g446,0.207243403,-0.516475248,0.683519285
g447,0.207870519,0.401024034,0.6822071
g448,0.207968226,-1.322789608,0.682003013
g449,0.209077041,-2.280196614,0.679693655
g450,0.209758872,-2.151555155,0.678279661
g451,0.210658273,1.080188187,0.676421481
g452,0.210717863,2.724272118,0.676298647
g453,0.210872702,0.230111445,0.675979637
g454,0.211243164,1.507335125,0.675217336
g455,0.211679885,2.195890848,0.674320409
g456,0.211734114,-0.63762227,0.674209164
g457,0.211987132,-2.066334727,0.673690501
g458,0.212650104,-3.778494264,0.672334401
g459,0.213785411,-0.560255366,0.670021935
g460,0.214678337,0.312100416,0.668211778
g461,0.215159224,0.550698592,0.667240031
g462,0.21541501,-1.144134678,0.666724039
g463,0.215823473,-0.617829317,0.665901323
g464,0.21608136,7.170412731,0.665382695
g465,0.216237835,-1.302582897,0.665068315
g466,0.216533924,1.325228655,0.664474054
g467,0.21691033,2.546142801,0.663719765
g468,0.217023092,0.822297566,0.663494053
g469,0.217147649,2.835966227,0.663244868
g470,0.217151813,-0.81379211,0.66323654
g471,0.21737226,-1.785891418,0.662795879
g472,0.21751972,-2.157866704,0.662501364
g473,0.217797474,1.190564176,0.661947161
g474,0.218023472,1.836956327,0.661496749
g475,0.218086892,0.764629076,0.661370437
g476,0.218099196,0.318718916,0.661345935
g477,0.218176119,-2.157573254,0.661192788
g478,0.218215037,0.500273529,0.661115326
g479,0.218421307,-0.827025023,0.660704998
g480,0.218540182,0.83650471,0.6604687
g481,0.219141557,-0.967348523,0.659275257
g482,0.219157744,0.284431662,0.659243179
g483,0.219311177,-2.183343663,0.658939234
g484,0.219406993,-1.11656216,0.658749535
g485,0.219409384,3.454637783,0.658744802
g486,0.219536115,-2.140379699,0.658494026
g487,0.219551253,-1.633281291,0.65846408
g488,0.219953153,1.126842883,0.657669808
g489,0.220071433,-1.710913364,0.657436329
g490,0.220233282,-2.197555579,0.657117049
g491,0.220625561,0.665439775,0.656344173
g492,0.220733686,-1.396240793,0.656131384
g493,0.220793681,0.907584057,0.65601336
g494,0.221329193,-1.632190485,0.654961299
g495,0.221791203,1.003696377,0.654055683
g496,0.22202162,-0.537467803,0.653604733
g497,0.22313339,1.684339173,0.651435436
g498,0.223501402,-3.46355172,0.650719748
g499,0.223809938,-2.79151971,0.650120633
g500,0.224350798,0.42800365,0.649072381
g501,0.224842416,-2.352715016,0.648121757
g502,0.224852449,-1.656276205,0.648102378
g503,0.225373502,-2.088810045,0.647097147
g504,0.225601006,-3.034500044,0.646658968
g505,0.226021156,6.135475381,0.645850908
g506,0.226041447,-1.72548769,0.645811921
g507,0.226607998,0.622510571,0.644724766
g508,0.226623336,1.23694903,0.644695372
g509,0.226703182,1.040423168,0.644542384
g510,0.226808236,-1.660038967,0.644341179
g511,0.227848446,-2.097347262,0.642353929
g512,0.228671983,1.08119348,0.640787042
g513,0.22870014,1.070964645,0.64073357
g514,0.228705524,-1.565292302,0.640723346
g515,0.228830735,-1.531274183,0.640485644
g516,0.22883759,-4.110912652,0.640472635
g517,0.229493763,-2.642897603,0.639229113
g518,0.22967393,-0.387802991,0.638888298
g519,0.229812137,-3.057246924,0.638627039
g520,0.229865648,-1.480916468,0.638525927
g521,0.230294565,-0.94316178,0.637716311
g522,0.230404934,0.553963871,0.637508225
g523,0.230531451,0.436566569,0.637269816
g524,0.230689442,0.622100091,0.636972281
g525,0.231382622,-1.969193358,0.635669262
g526,0.231946066,-3.072626926,0.634612989
g527,0.23234649,-0.626189808,0.633863884
g528,0.232399873,1.845034479,0.633764114
g529,0.232620192,-0.840735701,0.63335259
g530,0.232755442,1.849267977,0.633100156
g531,0.233175998,-3.048544738,0.632316156
g532,0.233223696,-0.28600169,0.632227326
g533,0.233712261,-2.639098311,0.631318503
g534,0.233792761,1.749087719,0.63116894
g535,0.234418991,-0.445284781,0.630007208
g536,0.234524255,-1.435249195,0.629812235
g537,0.235349001,-2.068544922,0.628287641
g538,0.235704758,-0.869508619,0.627631651
g539,0.235970646,1.772114205,0.627142019
g540,0.236050588,-1.563954111,0.626994913
g541,0.236098357,-0.590500938,0.626907035
g542,0.236192463,0.179996055,0.626733965
g543,0.236631211,-0.581271357,0.625927974
g544,0.236958122,-1.034156194,0.625328401
g545,0.237918,-1.199484459,0.6235727
g546,0.238133471,-0.86058116,0.623179558
g547,0.238145832,0.407398564,0.623157015
g548,0.238165769,2.824431106,0.623120658
g549,0.238881445,-1.911376098,0.621817583
g550,0.239206427,3.221057956,0.621227156
g551,0.239659194,1.145874778,0.620405906
g552,0.239708338,0.712562826,0.620316859
g553,0.240216575,-0.209715407,0.619397029
g554,0.240513442,-1.975331539,0.618860646
g555,0.24098792,1.336485915,0.618004727
g556,0.241494026,0.745928503,0.617093608
g557,0.241745317,0.822160374,0.61664193
g558,0.241748025,-0.456469532,0.616637065
g559,0.24180527,-1.017454523,0.616534238
g560,0.241818075,0.538540028,0.61651124
g561,0.24197026,-0.647037698,0.616238009
g562,0.242040581,-0.877978128,0.616111813
g563,0.24244973,-1.767828924,0.615378295
g564,0.242841456,1.072487618,0.614677172
g565,0.242952239,1.454659328,0.614479094
g566,0.243187187,-0.942898051,0.614059311
g567,0.243884239,-1.648767672,0.612816265
g568,0.243955546,-1.050056985,0.612689304
g569,0.244164168,0.383596878,0.61231807
g570,0.244640386,0.985460333,0.611471847
g571,0.245351641,-4.311333488,0.610211033
g572,0.245605642,0.581040268,0.609761661
g573,0.246046742,-2.735814898,0.608982381
g574,0.246207265,-0.902727761,0.608699136
g575,0.24761484,-1.682636877,0.606223331
g576,0.247964732,-2.20087667,0.605610084
g577,0.248384571,0.702456673,0.604875385
g578,0.248455129,0.394725106,0.604752033
g579,0.248809009,-1.396360496,0.604133899
g580,0.249001519,-2.208832186,0.603798004
g581,0.249478758,-0.716189825,0.602966427
g582,0.249501455,0.775503119,0.602926917
g583,0.249915074,-1.916557279,0.602207548
g584,0.250204654,-1.610831638,0.601704616
g585,0.250378623,-1.492430034,0.601402753
g586,0.25048204,-0.843905387,0.601223408
g587,0.250526467,-1.979739058,0.601146386
g588,0.250840002,-0.93633595,0.600603204
g589,0.251106696,-1.094006241,0.600141706
g590,0.251166254,1.026910271,0.600038712
g591,0.251207199,-0.3550874,0.599967919
g592,0.251379411,3.563784464,0.599670296
g593,0.251809869,-1.194877758,0.598927253
g594,0.252598164,-0.350618807,0.59756981
g595,0.252638618,-2.038313124,0.597500263
g596,0.252803064,0.473443192,0.597217667
g597,0.253272752,1.956739683,0.596411531
g598,0.253529117,-0.296576071,0.595972156
g599,0.25367827,-1.800282239,0.595716733
g600,0.254032443,-1.703394656,0.595110815
g601,0.254078258,-1.542166429,0.595032497
g602,0.254557622,0.774096234,0.594213895
g603,0.254743722,-1.940805362,0.59389651
g604,0.254810932,-1.424593509,0.593781944
g605,0.254988199,-1.051957238,0.593479918
g606,0.255516793,-0.850950951,0.592580552
g607,0.256088772,3.102003159,0.591609462
g608,0.256358931,0.972689032,0.591151548
g609,0.257011404,-2.092014701,0.590047606
g610,0.257015654,0.948429123,0.590040424
g611,0.257249892,-1.206209485,0.589644799
g612,0.257659934,0.334365089,0.588953109
g613,0.25771299,-1.240759301,0.58886369
g614,0.257892635,3.363796612,0.58856106
g615,0.258160057,-1.176626419,0.588110952
g616,0.25840379,-0.805727585,0.587701121
g617,0.258914687,0.77961684,0.586843313
g618,0.259146985,-1.393782304,0.58645384
g619,0.259238342,-1.288743435,0.586300765
g620,0.259478908,1.95768158,0.585897938
g621,0.260305488,-5.664876035,0.584516676
g622,0.260453034,2.129036308,0.584270579
g623,0.260585457,-2.64724549,0.584049825
g624,0.260653784,-1.733649495,0.583935966
g625,0.260702207,1.151184675,0.583855292
g626,0.260973005,-0.612027148,0.583404414
g627,0.261673695,-2.981361071,0.582239933
g628,0.26168162,1.085689597,0.58222678
g629,0.262786133,0.689090808,0.580397556
g630,0.262841652,1.059178328,0.580305812
g631,0.262979631,-1.941784791,0.580077888
g632,0.263300869,-3.72153493,0.579547708
g633,0.263420658,4.053859835,0.57935017
g634,0.263701715,-0.440809275,0.578887046
g635,0.263852497,-1.043576581,0.578638791
g636,0.264390713,0.717956535,0.577753804
g637,0.264536545,3.333547688,0.577514323
g638,0.264562561,-2.332273601,0.577471614
g639,0.264632501,2.579997449,0.577356819
g640,0.264749929,0.390580631,0.577164148
g641,0.265293489,-0.674166323,0.576273409
g642,0.265650961,-1.093696571,0.575688609
g643,0.265894866,1.577731418,0.575290048
g644,0.266170909,-1.472519938,0.574839412
g645,0.266565602,-0.83308713,0.574195893
